timestamp_utc,exit_count,win_count,loss_count,win_rate,expectancy,payoff_ratio,profit_factor,max_drawdown,max_consecutive_losses,total_fee,total_realized
2026-04-19T09:09:01+00:00,1,0,1,0.0,-3583.5715891,0.0,0.0,-3583.5715891,1,372.74374640999997,-3583.5715891
2026-04-19T09:14:01+00:00,2,1,1,0.5,519.8700604850001,1.2901407423065119,1.2901407423065119,-3583.5715891,1,499.59298722,1039.7401209700001
2026-04-19T09:19:09+00:00,2,1,1,0.5,519.8700604850001,1.2901407423065119,1.2901407423065119,-3583.5715891,1,624.69176268,1039.7401209700001
2026-04-19T09:24:09+00:00,3,1,2,0.3333333333333333,165.6160054866666,2.2408105600102046,1.1204052800051023,-3583.5715891,1,749.5189563,496.84801646000017
2026-04-19T09:29:16+00:00,3,1,2,0.3333333333333333,165.6160054866666,2.2408105600102046,1.1204052800051023,-3583.5715891,1,874.5342329,496.84801646000017
2026-04-19T09:34:16+00:00,3,1,2,0.3333333333333333,165.6160054866666,2.2408105600102046,1.1204052800051023,-3583.5715891,1,874.5342329,496.84801646000017
2026-04-19T09:39:16+00:00,3,1,2,0.3333333333333333,165.6160054866666,2.2408105600102046,1.1204052800051023,-3583.5715891,1,874.5342329,496.84801646000017
2026-04-19T09:44:16+00:00,3,1,2,0.3333333333333333,165.6160054866666,2.2408105600102046,1.1204052800051023,-3583.5715891,1,874.5342329,496.84801646000017
2026-04-19T09:49:16+00:00,4,1,3,0.25,-216.01219206999986,2.527615086512517,0.842538362170839,-3583.5715891,2,998.86872071,-864.0487682799998
2026-04-19T09:54:23+00:00,4,1,3,0.25,-216.01219206999986,2.527615086512517,0.842538362170839,-3583.5715891,2,1123.6982583,-864.0487682799998
2026-04-19T09:59:23+00:00,5,1,4,0.2,-3807.0514838900003,0.781672244802203,0.19541806120055075,-20074.99754042,3,1239.43764649,-19035.25741945
2026-04-19T10:04:30+00:00,5,1,4,0.2,-3807.0514838900003,0.781672244802203,0.19541806120055075,-20074.99754042,3,1361.98017931,-19035.25741945
2026-04-19T10:09:30+00:00,5,1,4,0.2,-3807.0514838900003,0.781672244802203,0.19541806120055075,-20074.99754042,3,1361.98017931,-19035.25741945
